address	xcoord	ycoord	shopid
Südosttangente, 1020 Wien, Austria	16.43426	48.204937	17592186046486
Gutheil-Schoder-Gasse 7, 1100 Wien, Austria	16.338764	48.1634	17592186046498
Clemens-Holzmeister-Straße 2, 1100 Wien, Austria	16.347704	48.168907	17592186046513
Gußriegelstraße 52-54, 1100 Wien, Austria	16.356949	48.167152	17592186046486
Rechte Wienzeile, 1120 Wien, Austria	16.33733	48.186676	17592186046486
Heiligenstädter Str. 69-75, 1190 Wien, Austria	16.360313	48.24237	17592186046489
Belghofergasse 47, 1120 Wien, Austria	16.312078	48.169292	17592186046501
Simon-Wiesenthal-Gasse 9, 1020 Wien, Austria	16.430264	48.206646	17592186046486
Mühlbreiten 14-17, 1230 Wien, Austria	16.308422	48.15151	17592186046510
Schußlinie 1, 1110 Wien, Austria	16.437126	48.179813	17592186046501
Stromkilometer 1927, 1220 Wien, Austria	16.40233	48.23234	17592186046495
Ingenieur-Sarek-Weg 38, 1220 Wien, Austria	16.438663	48.229553	17592186046492
Roßauer Lände 33, 1090 Wien, Austria	16.366714	48.224327	17592186046516
Brigittenauer Brücke, 1210 Wien, Austria	16.405024	48.24022	17592186046510
Siebeckstraße 139, 1220 Wien, Austria	16.432598	48.241894	17592186046474
Godlewskigasse 10, 1220 Wien, Austria	16.44095	48.232586	17592186046510
Margaretengürtel 126-134, 1050 Wien, Austria	16.345284	48.185505	17592186046504
Bendlgasse 5, 1120 Wien, Austria	16.334703	48.182125	17592186046495
Sternwartestraße 15, 1180 Wien, Austria	16.346943	48.229294	17592186046480
Rappachgasse 58-60, 1110 Wien, Austria	16.425152	48.178772	17592186046501
Donhartgasse 130, 1140 Wien, Austria	16.282574	48.204063	17592186046501
Goldschlagstraße 128, 1140 Wien, Austria	16.313168	48.195404	17592186046495
Kohlmarkt 11, 1010 Wien, Austria	16.367609	48.208263	17592186046483
Heiligenstädter Str. 140, 1190 Wien, Austria	16.365877	48.255356	17592186046513
Lannerweg, 1110 Wien, Austria	16.43135	48.17526	17592186046480
Neutorgasse 10, 1010 Wien, Austria	16.369043	48.2148	17592186046483
Fännergasse 2142, 1210 Wien, Austria	16.386301	48.252037	17592186046483
An der Neuen Donau, 1210 Wien, Austria	16.396204	48.244118	17592186046477
Klg Rosenhügel Weg 7, 1230 Wien, Austria	16.293472	48.15681	17592186046507
Arsenal 226, 1030 Wien, Austria	16.396029	48.18048	17592186046492
Haschkagasse 5, 1120 Wien, Austria	16.326132	48.18071	17592186046504
Gaßmannstraße 2, 1120 Wien, Austria	16.309189	48.17314	17592186046495
Haasgasse 5, 1020 Wien, Austria	16.37244	48.2218	17592186046504
Fuchsthallergasse 15, 1090 Wien, Austria	16.3512	48.224773	17592186046501
Franz-Josefs-Kai 31, 1010 Wien, Austria	16.374874	48.213753	17592186046480
Proletetska, 1100 Wien, Austria	16.387804	48.170296	17592186046495
Kundmanngasse 22, 1030 Wien, Austria	16.393023	48.20356	17592186046498
Formanekgasse 29, 1190 Wien, Austria	16.35212	48.24826	17592186046513
Wanriglgasse 11, 1160 Wien, Austria	16.2895	48.216606	17592186046504
Mitterweg 21, 1110 Wien, Austria	16.441069	48.170387	17592186046489
Pazmanitengasse 9, 1020 Wien, Austria	16.384691	48.22091	17592186046486
Erdberger Lände 32, 1030 Wien, Austria	16.40437	48.20055	17592186046516
Ganglbauergasse 21-23, 1160 Wien, Austria	16.325518	48.20874	17592186046492
Oberwiedenstraße 52, 1170 Wien, Austria	16.291996	48.224125	17592186046486
Krongasse 18, 1050 Wien, Austria	16.36201	48.193047	17592186046480
Dietrichgasse 59, 1030 Wien, Austria	16.407305	48.19756	17592186046513
Rolandweg 8A, 1160 Wien, Austria	16.293308	48.21355	17592186046492
Mexikopl. 18-19, 1020 Wien, Austria	16.40439	48.223804	17592186046510
Diesterweggasse 21, 1140 Wien, Austria	16.305058	48.190426	17592186046486
Wundtgasse 1A, 1120 Wien, Austria	16.299473	48.161232	17592186046477
Wundtgasse 1, 1230 Wien, Austria	16.297354	48.162304	17592186046480
Innstraße 1, 1200 Wien, Austria	16.384737	48.229736	17592186046480
Hermesstraße 1D, 1130 Wien, Austria	16.279257	48.167892	17592186046498
Eßlinggasse 10, 1010 Wien, Austria	16.369614	48.215466	17592186046483
Klosterneuburger Str., 1190 Wien, Austria	16.37135	48.252384	17592186046507
Muthgasse 29, 1190 Wien, Austria	16.368803	48.25209	17592186046504
Obere Amtshausgasse 30, 1050 Wien, Austria	16.35223	48.18455	17592186046489
Haidackergasse 5, 1120 Wien, Austria	16.332785	48.173855	17592186046501
Udelweg 6-8, 1110 Wien, Austria	16.432138	48.162926	17592186046495
An der Oberen Alten Donau 123, 1210 Wien, Austria	16.41753	48.24606	17592186046477
Burgenlandgasse 83, 1100 Wien, Austria	16.40145	48.15449	17592186046477
Glanzinggasse 30, 1190 Wien, Austria	16.314747	48.24276	17592186046498
Gatterederstraße 8, 1230 Wien, Austria	16.289658	48.151733	17592186046474
Pezzlgasse 66, 1170 Wien, Austria	16.328945	48.22105	17592186046516
Kürnbergergasse 5, 1150 Wien, Austria	16.33105	48.187153	17592186046513
Kaisermühlentunnel, 1220 Wien, Austria	16.424364	48.220406	17592186046507
Felix-Dahn-Straße 1, 1180 Wien, Austria	16.32324	48.23862	17592186046480
Lange G. 72, 1080 Wien, Austria	16.351835	48.214184	17592186046492
Am Bruckhaufen 31, 1210 Wien, Austria	16.401173	48.241726	17592186046480
Lindengasse 15-17, 1070 Wien, Austria	16.35309	48.200848	17592186046486
Tullnertalgasse, 1230 Wien, Austria	16.2916	48.15865	17592186046507
Donauturmstraße D, 1220 Wien, Austria	16.409567	48.239227	17592186046480
Halbgasse 9, 1070 Wien, Austria	16.341381	48.203785	17592186046486
Maiklgasse 7, 1100 Wien, Austria	16.365067	48.157345	17592186046498
Lautenschlägergasse 23, 1110 Wien, Austria	16.423502	48.173447	17592186046477
Vogentalgasse 27, 1100 Wien, Austria	16.411448	48.159214	17592186046498
Lambertgasse 19, 1160 Wien, Austria	16.319643	48.2134	17592186046498
Erdbergstraße 195, 1030 Wien, Austria	16.428385	48.18534	17592186046480
Anton-Sattler-Gasse 93A, 1220 Wien, Austria	16.436628	48.24819	17592186046504
Breitenfurter Str. 107, 1120 Wien, Austria	16.31634	48.164917	17592186046483
Straußengasse 17-19, 1050 Wien, Austria	16.36123	48.192028	17592186046507
Gymnasiumstraße 48, 1180 Wien, Austria	16.347956	48.23214	17592186046486
Collmanngasse 5, 1100 Wien, Austria	16.393263	48.16453	17592186046510
Otto-Willmann-Gasse 4, 1100 Wien, Austria	16.372679	48.16386	17592186046504
Friedrich-Adler-Weg 1, 1100 Wien, Austria	16.35099	48.159626	17592186046516
Himmelstraße 26, 1190 Wien, Austria	16.334383	48.257057	17592186046495
Stuwerstraße 56-58, 1020 Wien, Austria	16.40603	48.218807	17592186046480
Hackenberggasse 5, 1190 Wien, Austria	16.327658	48.245358	17592186046486
Hervicusgasse 12, 1120 Wien, Austria	16.30351	48.1656	17592186046480
Pirchangasse 2, 1100 Wien, Austria	16.362473	48.15725	17592186046501
Kronawettergasse 4, 1100 Wien, Austria	16.399885	48.155212	17592186046495
Denglergasse 12, 1150 Wien, Austria	16.328646	48.19315	17592186046498
Braillegasse 7, 1140 Wien, Austria	16.293709	48.201763	17592186046510
Walcherstraße 5, 1020 Wien, Austria	16.396326	48.223114	17592186046513
Grünbeckweg 3, 1170 Wien, Austria	16.31323	48.228687	17592186046474
Laternenweg, 1020 Wien, Austria	16.40101	48.211094	17592186046501
Ladestraße Nr.2, 1200 Wien, Austria	16.383621	48.22956	17592186046510
Sp-Zentralsparkasse 1197/1, 1170 Wien, Austria	16.295834	48.22589	17592186046483
Schemmerlstraße 46, 1110 Wien, Austria	16.418884	48.16279	17592186046492
Adalbert-Stifter-Straße 19, 1200 Wien, Austria	16.365818	48.238216	17592186046507
Kratochwjlestraße 3, 1220 Wien, Austria	16.421883	48.236713	17592186046507
Engelshofengasse 2, 1230 Wien, Austria	16.279526	48.16146	17592186046492
Rudolf-Nurejew-Promenade, 1220 Wien, Austria	16.409933	48.232178	17592186046504
Chromygasse 53, 1230 Wien, Austria	16.311094	48.158573	17592186046513
Anzengrubergasse 17, 1050 Wien, Austria	16.364235	48.18543	17592186046504
Moselgasse 28, 1100 Wien, Austria	16.39511	48.163864	17592186046480
Felbigergasse 15, 1140 Wien, Austria	16.297903	48.195824	17592186046480
Kundratstraße 8, 1100 Wien, Austria	16.353582	48.175938	17592186046492
Stromkilometer 1927, 1220 Wien, Austria	16.403036	48.23165	17592186046501
Pasettistraße 47, 1200 Wien, Austria	16.38125	48.238026	17592186046510
Franzosengraben 9, 1030 Wien, Austria	16.414778	48.188347	17592186046483
Industriestraße 20, 1220 Wien, Austria	16.438463	48.233997	17592186046504
Sportbad Schönbrunn 26, 1130 Wien, Austria	16.30958	48.179276	17592186046501
Klg Kanalwächterhaus Parz., 1020 Wien, Austria	16.428698	48.19027	17592186046483
Hofwiesengasse 13, 1130 Wien, Austria	16.286568	48.1737	17592186046498
Senngasse 0, 1110 Wien, Austria	16.399132	48.178707	17592186046477
Jägerhausgasse 27, 1120 Wien, Austria	16.30671	48.165142	17592186046477
Herbeckstraße 9, 1180 Wien, Austria	16.327024	48.23116	17592186046507
Van-der-Nüll-Gasse 20, 1100 Wien, Austria	16.369217	48.17908	17592186046495
Handelskai 337-339, 1020 Wien, Austria	16.429375	48.21279	17592186046489
Rotenhofgasse 86-88, 1100 Wien, Austria	16.360012	48.17547	17592186046495
Ybbsstraße 37, 1020 Wien, Austria	16.401186	48.22263	17592186046513
Parkplatz Donauinsel 1, 1210 Wien, Austria	16.384426	48.2501	17592186046501
Kolowratgasse 19, 1100 Wien, Austria	16.394379	48.15083	17592186046504
Breitenfurter Str. 147, 1120 Wien, Austria	16.312592	48.16225	17592186046477
Cumberlandstraße 87, 1140 Wien, Austria	16.293446	48.192875	17592186046492
Klg Sulzwiese Parz., 1020 Wien, Austria	16.421045	48.194477	17592186046516
Paul-Ehrlich-Gasse 17, 1190 Wien, Austria	16.334461	48.25195	17592186046480
Neustiftgasse 72, 1070 Wien, Austria	16.345757	48.205658	17592186046486
Lugmayerpl. 2, 1160 Wien, Austria	16.291512	48.215332	17592186046510
Siebenbrunnenfeldgasse 3, 1050 Wien, Austria	16.353092	48.181587	17592186046480
Erdbergstraße 37-39, 1030 Wien, Austria	16.397547	48.201073	17592186046498
Lainzer Str. 68-70, 1130 Wien, Austria	16.285994	48.182304	17592186046498
Franzosengraben 11, 1030 Wien, Austria	16.413988	48.18713	17592186046501
An der unteren Alten Donau 41, 1220 Wien, Austria	16.430489	48.232388	17592186046495
Käthe-Jonas-Weg 35, 1100 Wien, Austria	16.351015	48.1732	17592186046498
Erdberger Lände 44, 1030 Wien, Austria	16.407412	48.19881	17592186046498
Sechshauser Str. 37, 1150 Wien, Austria	16.331758	48.18742	17592186046498
Rüdigergasse 9, 1050 Wien, Austria	16.356668	48.193752	17592186046474
Leberstraße 80, 1110 Wien, Austria	16.406422	48.1734	17592186046510
Gustav-Tschermak-Gasse 25, 1190 Wien, Austria	16.339436	48.234943	17592186046513
Tuschlgasse 4, 1230 Wien, Austria	16.321033	48.154507	17592186046495
Hollergasse 51, 1150 Wien, Austria	16.3238	48.189888	17592186046483
Vereinsweg, 1120 Wien, Austria	16.315695	48.158455	17592186046504
Braungasse 41, 1170 Wien, Austria	16.300785	48.226063	17592186046504
Dingelstedtgasse 9, 1150 Wien, Austria	16.337128	48.193302	17592186046510
Fischerstrand 31, 1220 Wien, Austria	16.42978	48.232323	17592186046483
Boltzmanngasse 13, 1090 Wien, Austria	16.356258	48.224167	17592186046489
Wienerbergstraße 27B, 1120 Wien, Austria	16.338182	48.17063	17592186046495
Heuberggstättenstraße 20, 1100 Wien, Austria	16.371807	48.159016	17592186046492
Triester Str. 14, 1100 Wien, Austria	16.355078	48.1779	17592186046501
Treppelweg, 1200 Wien, Austria	16.391104	48.239124	17592186046501
Missindorfstraße 8, 1140 Wien, Austria	16.306778	48.194756	17592186046489
Dresdner Str. 9, 1200 Wien, Austria	16.375162	48.241062	17592186046504
Mollardgasse 81, 1060 Wien, Austria	16.344568	48.189617	17592186046489
Handelskai 338, 1020 Wien, Austria	16.424923	48.21261	17592186046480
Seeschlachtweg 352, 1110 Wien, Austria	16.4379	48.166634	17592186046495
Schönbrunner Tiergarten 28, 1130 Wien, Austria	16.302847	48.182117	17592186046510
Schönbrunner Str. 75, 1050 Wien, Austria	16.354527	48.190414	17592186046516
Schultheßgasse 5, 1170 Wien, Austria	16.317335	48.22406	17592186046510
Breitenfurter Str. 4-10, 1120 Wien, Austria	16.320818	48.169712	17592186046507
Südosttangente, 1100 Wien, Austria	16.394901	48.170593	17592186046498
Leopoldsgasse 9, 1020 Wien, Austria	16.375546	48.220875	17592186046513
Georg-Wilhelm-Pabst-Gasse 2, 1100 Wien, Austria	16.35911	48.16736	17592186046474
Felberstraße 90, 1150 Wien, Austria	16.323038	48.19398	17592186046480
Donau-City-Straße 15, 1220 Wien, Austria	16.411762	48.234352	17592186046504
Dominikanerbastei 24, 1010 Wien, Austria	16.380135	48.211113	17592186046474
Hertha-Firnberg-Straße 7, 1100 Wien, Austria	16.343744	48.1667	17592186046477
Kaisermühlenbrücke, 1220 Wien, Austria	16.419245	48.22002	17592186046495
Prechtlgasse 1, 1090 Wien, Austria	16.349897	48.222466	17592186046489
Klg Weichseltal Parz., 1110 Wien, Austria	16.416176	48.152664	17592186046501
Antonigasse 80, 1180 Wien, Austria	16.332361	48.225075	17592186046477
Hirschengasse 10, 1060 Wien, Austria	16.348682	48.194103	17592186046495
Kleingartenverein Unteres Heustadlwasser, 1020 Wien, Austria	16.435326	48.19805	17592186046513
Kerschensteinergasse 2, 1120 Wien, Austria	16.343206	48.17438	17592186046477
Ernst-Karl-Winter-Weg 4, 1190 Wien, Austria	16.328573	48.246704	17592186046480
Marchettigasse 1B, 1060 Wien, Austria	16.350563	48.191433	17592186046510
Buchleitengasse 83, 1180 Wien, Austria	16.304092	48.238888	17592186046483
An der unteren Alten Donau 77, 1220 Wien, Austria	16.43318	48.22883	17592186046507
Vorgartenstraße 227, 1020 Wien, Austria	16.41262	48.214813	17592186046486
Liebenstraße 39, 1120 Wien, Austria	16.326612	48.168827	17592186046492
Hauptallee A, 1020 Wien, Austria	16.41811	48.20339	17592186046510
Kremenetzkygasse, 1110 Wien, Austria	16.40314	48.173534	17592186046498
Reizenpfenninggasse 1, 1160 Wien, Austria	16.283682	48.210907	17592186046510
Schlachthausgasse 15, 1030 Wien, Austria	16.408468	48.195198	17592186046492
Offenbachgasse 5, 1020 Wien, Austria	16.416746	48.216248	17592186046501
Hornspergsteig, 1190 Wien, Austria	16.335983	48.248634	17592186046507
Bonygasse 42, 1120 Wien, Austria	16.326406	48.179478	17592186046480
Burgring 5, 1010 Wien, Austria	16.361347	48.20329	17592186046492
Hartäckerstraße 68-76, 1190 Wien, Austria	16.332884	48.238857	17592186046510
Hauptallee, 1020 Wien, Austria	16.413942	48.204853	17592186046477
Gussenbauergasse 5, 1090 Wien, Austria	16.3623	48.228325	17592186046486
Ehamgasse 1, 1110 Wien, Austria	16.409323	48.174458	17592186046504
Schumanngasse 107, 1170 Wien, Austria	16.32589	48.22573	17592186046492
Schottenfeldgasse 92, 1070 Wien, Austria	16.343334	48.206924	17592186046495
Treustraße 4, 1200 Wien, Austria	16.36888	48.22701	17592186046495
Hetzendorfer Str. 33, 1120 Wien, Austria	16.31764	48.163624	17592186046498
Gräfweg 1, 1190 Wien, Austria	16.333275	48.24592	17592186046480
Sprengersteig 10, 1160 Wien, Austria	16.293776	48.219593	17592186046498
Eichenstraße 70, 1120 Wien, Austria	16.332853	48.17465	17592186046513
Kliergasse 14, 1190 Wien, Austria	16.319548	48.246136	17592186046477
Währinger Gürtel 18-20, 1090 Wien, Austria	16.34714	48.220924	17592186046480
Breitenfurter Str. 2, 1120 Wien, Austria	16.32371	48.171528	17592186046474
Sechshauser Gürtel 11, 1150 Wien, Austria	16.338362	48.18915	17592186046507
Donauufer Autobahn, 1210 Wien, Austria	16.393602	48.247986	17592186046477
Weichseltalweg 933B, 1110 Wien, Austria	16.42859	48.1562	17592186046486
Sillerweg, 1110 Wien, Austria	16.434214	48.176914	17592186046483
Karmarschgasse 69, 1100 Wien, Austria	16.364084	48.17275	17592186046486
Morelligasse 10, 1210 Wien, Austria	16.40568	48.252773	17592186046501
Kaisermühlenbrücke, 1220 Wien, Austria	16.416012	48.22254	17592186046477
Schmedesweg 2, 1160 Wien, Austria	16.28609	48.207085	17592186046510
Längenfeldgasse, 1100 Wien, Austria	16.342255	48.176044	17592186046477
Cottagebrücke 1433, 1030 Wien, Austria	16.414724	48.19276	17592186046492
Kugelfanggasse 34, 1210 Wien, Austria	16.401691	48.2451	17592186046480
Seckendorff-Gudent-Weg 6, 1130 Wien, Austria	16.303392	48.17573	17592186046501
Hauptallee W, 1020 Wien, Austria	16.413445	48.207043	17592186046480
Donauinsel 20, 1220 Wien, Austria	16.406235	48.229607	17592186046486
Vogelweidpl. 10-11, 1150 Wien, Austria	16.331997	48.203697	17592186046510
Lerchenfelder Str. 99-101, 1070 Wien, Austria	16.343338	48.20754	17592186046501
Wehlistraße 178-180, 1020 Wien, Austria	16.406786	48.22292	17592186046501
Alszeile 88, 1170 Wien, Austria	16.30355	48.23	17592186046474
Apollogasse 17, 1070 Wien, Austria	16.341639	48.197903	17592186046480
Czernetzpl., 1220 Wien, Austria	16.436064	48.2448	17592186046480
Leonard-Bernstein-Straße 15, 1220 Wien, Austria	16.418783	48.23681	17592186046480
Brigittenauer Lände 50, 1200 Wien, Austria	16.36484	48.23022	17592186046516
Arbesbachgasse 21, 1190 Wien, Austria	16.341434	48.24372	17592186046495
Fasangartengasse 70A, 1130 Wien, Austria	16.293512	48.17169	17592186046504
Modecenterstraße 4A, 1030 Wien, Austria	16.417067	48.187675	17592186046513
Anschlussstelle St. Marx, 1030 Wien, Austria	16.412544	48.190243	17592186046486
Gudrunstraße 194, 1100 Wien, Austria	16.361732	48.180187	17592186046516
Rudolf-Nurejew-Promenade, 1220 Wien, Austria	16.407913	48.23285	17592186046504
Csardastraße 123, 1020 Wien, Austria	16.404936	48.212894	17592186046504
Am Kaisermühlendamm, 1220 Wien, Austria	16.430456	48.219414	17592186046504
Südosttangente, 1100 Wien, Austria	16.35782	48.15235	17592186046480
Kaisermühlenbrücke, 1220 Wien, Austria	16.419409	48.220238	17592186046489
Buchenweg, 1130 Wien, Austria	16.29209	48.17977	17592186046480
Volkspark-Laaerberge W, 1100 Wien, Austria	16.399397	48.162155	17592186046492
Felberstraße 4, 1150 Wien, Austria	16.337292	48.198456	17592186046504
Hauptallee A, 1020 Wien, Austria	16.428308	48.19936	17592186046474
Strampfergasse 1, 1130 Wien, Austria	16.277578	48.167076	17592186046483
Dampfschiffhaufen 3, 1220 Wien, Austria	16.431335	48.223103	17592186046498
Klinik für Schweine, 1220 Wien, Austria	16.43162	48.255295	17592186046501
Phorusgasse 1, 1040 Wien, Austria	16.3646	48.188866	17592186046507
Feldbachgasse, 1110 Wien, Austria	16.418686	48.151436	17592186046477
Arndtstraße 21, 1120 Wien, Austria	16.340925	48.184338	17592186046486
Große Mohrengasse 33, 1020 Wien, Austria	16.383316	48.217793	17592186046513
Glockengasse 9, 1020 Wien, Austria	16.38136	48.218273	17592186046495
Felix-Grafe-Gasse 2, 1100 Wien, Austria	16.386936	48.151558	17592186046489
Kleingartenverein Neugebäude, 1110 Wien, Austria	16.43463	48.16128	17592186046510
Brigittenauer Lände 160, 1200 Wien, Austria	16.36568	48.24091	17592186046495
Domaniggasse 2, 1100 Wien, Austria	16.364319	48.15056	17592186046498
Am Rollerdamm 2, 1210 Wien, Austria	16.39302	48.23908	17592186046513
Novaragasse 3, 1020 Wien, Austria	16.381607	48.21976	17592186046486
Handelskai 337-339, 1020 Wien, Austria	16.426277	48.212227	17592186046477
Werklmannweg, 1160 Wien, Austria	16.299349	48.210957	17592186046483
Seilerstätte 11, 1010 Wien, Austria	16.374447	48.204773	17592186046483
Hetzendorfer Str. 66, 1120 Wien, Austria	16.312407	48.166256	17592186046486
Hintergärtengasse K, 1190 Wien, Austria	16.35916	48.251595	17592186046510
Edelsinnstraße 3-5, 1120 Wien, Austria	16.320011	48.172184	17592186046477
Strandbad Gänsehäufel 4271/10, 1220 Wien, Austria	16.430887	48.230255	17592186046513
1.Haidequerstraße 1-510, 1110 Wien, Austria	16.430597	48.18212	17592186046513
Handelskai 302, 1020 Wien, Austria	16.423338	48.212452	17592186046504
Sternwartestraße 1, 1180 Wien, Austria	16.349585	48.22919	17592186046498
Rudolf-Bärenhart-Gasse 20, 1170 Wien, Austria	16.290537	48.227448	17592186046483
Ost Autobahn, 1020 Wien, Austria	16.421528	48.18851	17592186046495
Brigittenauer Brücke, 1210 Wien, Austria	16.3962	48.23835	17592186046516
Michaelerstraße 1, 1180 Wien, Austria	16.349539	48.228226	17592186046507
Florian-Berndl-Gasse 69, 1220 Wien, Austria	16.435871	48.229748	17592186046480
Savoyenstraße 1A, 1160 Wien, Austria	16.283976	48.221844	17592186046492
Kleingartenverein Freudenau, 1020 Wien, Austria	16.435326	48.19179	17592186046501
Pacassistraße 25, 1130 Wien, Austria	16.289051	48.17473	17592186046495
Kohlgasse 1, 1050 Wien, Austria	16.355293	48.181858	17592186046474
Paulinensteig 94-100, 1160 Wien, Austria	16.288155	48.218143	17592186046504
Sonnleithnergasse 7, 1100 Wien, Austria	16.363155	48.179607	17592186046486
Simmeringer Hauptstraße 140-148, 1110 Wien, Austria	16.422537	48.167706	17592186046498
Brigittenauer Lände 170-172, 1200 Wien, Austria	16.368362	48.242695	17592186046480
Marktgemeindegasse 32-40, 1230 Wien, Austria	16.278576	48.156246	17592186046486
Columbuspl. 3, 1100 Wien, Austria	16.374111	48.181686	17592186046483
Kleingartenverein Unteres Heustadlwasser, 1020 Wien, Austria	16.438503	48.196968	17592186046504
Loquaipl. 5, 1060 Wien, Austria	16.347511	48.195282	17592186046495
Wehlistraße 308, 1020 Wien, Austria	16.425901	48.206657	17592186046501
Ottakringer Str. 44, 1170 Wien, Austria	16.335308	48.214752	17592186046516
Erdbergstraße 222, 1030 Wien, Austria	16.421427	48.186985	17592186046489
